id,employe_nom,employe_email,manager_nom,type,date_debut,date_fin,nombre_jours,etat,raison,created_at
32,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 12:09:26"
33,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 12:09:26"
34,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",exceptionnel,2026-05-09,2026-05-11,3,refuse_manager,"Événement familial","2026-04-29 12:09:26"
35,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-06-29,2026-07-04,6,annule,"Voyage annulé","2026-04-29 12:09:26"
27,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 12:00:45"
28,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 12:00:45"
29,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",exceptionnel,2026-05-09,2026-05-11,3,refuse_manager,"Événement familial","2026-04-29 12:00:45"
30,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-06-29,2026-07-04,6,annule,"Voyage annulé","2026-04-29 12:00:45"
25,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-08-27,2026-09-01,6,brouillon,,"2026-04-29 11:48:18"
21,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 11:47:01"
22,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 11:47:01"
23,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",exceptionnel,2026-05-09,2026-05-11,3,refuse_manager,"Événement familial","2026-04-29 11:47:01"
24,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-06-29,2026-07-04,6,annule,"Voyage annulé","2026-04-29 11:47:01"
17,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 11:46:41"
18,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 11:46:41"
19,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",exceptionnel,2026-05-09,2026-05-11,3,refuse_manager,"Événement familial","2026-04-29 11:46:41"
13,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 11:46:10"
14,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 11:46:10"
15,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",exceptionnel,2026-05-09,2026-05-11,3,refuse_manager,"Événement familial","2026-04-29 11:46:10"
11,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",exceptionnel,2026-05-09,2026-05-11,3,refuse_manager,"Événement familial","2026-04-29 11:45:11"
9,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 11:45:10"
